BG;2,300 Armenian Soldiers Killed, Wounded in Clashes, Claims Azerbaijani Defence Ministry;"Over 2,300 Armenian servicemen were killed and wounded in the continuing clashes in Nagorno-Karabakh, Azerbaijani defence ministry claimed on Wednesday.""From September 27 and up to this morning, around 2,300 enemy fighters were eliminated and wounded: around 130 tanks and other armoured vehicles, over 200 artillery, missile and mortar launchers, around 25 air defense weapons: six command and control and observation posts: five ammunition depots: around 50 armour-defeating weapons, and 55 automobiles were eliminated and brought out of action,"" the Defence Ministry told Sputnik. On Sunday morning, an escalation unfolded along the contact line of Nagorno-Karabakh, an Armenian-majority autonomy that proclaimed independence from what then was the Soviet Azerbaijan Republic in 1991.Azerbaijan launched what it described as a ""counteroffensive,"" while the Artsakh authorities accused Azerbaijani forces of opening fire against civilians and civilian infrastructure in its capital of Stepanakert.The armed hostilities continue at this point.";E
RU;‘Everything is destroyed again’: Armenian refugee family shares story with RT in aftermath of new Nagorno-Karabakh war;The war in Nagorno-Karabakh has sent tens of thousands of ethnic Armenians fleeing from the hostilities – and a peace deal, perceived by many as Armenia’s surrender, has left little hope of return, a family of refugees told RT.Some 90,000 civilians have fled Nagorno-Karabakh over the past few weeks as the forces of the breakaway region, supported by Armenia, clashed with Azerbaijani military troops.The self-proclaimed republic broke away from Azerbaijan back in the 1990s. The region, populated predominantly by ethnic Armenians, lived in the legal gray zone – and relative peace – for some 30 years, until the new war broke out late in September.“We’ve built our dreams, we’ve wanted our dreams to come true. But after 30 years, it’s war again. Again, everything is destroyed,” Nanar Eremyan, who fled the region’s capital Stepanakert, told RT.While Eremyan did not initially intend to leave her home behind, she said she had to do so for the sake of her children, as Stepanakert has been repeatedly subjected to shelling and bombardment. Eremyan fled to Armenia’s capital, Yerevan – and she and other refugees have received a very warm welcome from the locals.In addition to refugee shelters and charities, private Armenian citizens sought to help the refugees. Nanar’s family, for instance, has been sheltered by a local woman.“I thought something needs to be done and I’ve started looking for a family to help. They’ve found me, and I’ve found them. They’ve been living with me since October 1,” the woman told RT.The peace deal reached by Armenia and Azerbaijan this week did not bring much relief to the refugees. The agreement has been largely perceived as a surrender by Armenians and triggered mass protests across the country.The deal has returned many Nagorno-Karabakh settlements to Azerbaijan’s control – and that news alone has triggered a new wave of refugees. Nanar believes Baku will never allow them to coexist peacefully, and that many ethnic Armenians will never be able to return home to Nagorno-Karabakh.;E
RU;‘Nikol is a traitor’: Armenian opposition parties lead protest in crisis-hit Yerevan, demand resignation of PM Pashinyan;Over a thousand protesters have gathered in Yerevan to demand the resignation of Prime Minister Nikol Pashinyan following the Nagorno-Karabakh peace deal. They are accusing him of being a traitor for signing a truce with Baku.In the early hours of Tuesday morning, Pashinyan announced that the country had agreed to end hostilities with Azerbaijan, following a bloody conflict which began in late September. After repeatedly claiming that Armenia was winning the war, he is now coming under attack for what many locals see as a surrender.On Wednesday afternoon, demonstrators met in the center of Yerevan, chanting “Nikol is a traitor.” Led by politicians from a wide range of opposition parties, the protest has brought together Armenians who disagree with the government's decision to end the conflict. Eyewitness reports suggest that the police have arrested individual protest leaders, but the participants have continued undeterred. MP Gagik Tsarukyan, the head of Prosperous Armenia, the country's second-biggest party, was detained by law enforcement.Earlier this week, the leaders of Armenia, Azerbaijan, and Russia signed a joint statement agreeing to a truce in Nagorno-Karabakh. The agreement states that Azerbaijani and Armenian troops must remain in their current positions, an arrangement which is to be enforced by Russian peacekeepers. This means that Baku will keep the areas of Nagorno-Karabakh it regained control of during the conflict. According to Pashinyan, Yerevan had no choice, as the country's resources were quickly becoming depleted.On September 27, the frozen conflict suddenly erupted once again. The dispute between Azerbaijan and Armenia is decades old, with both countries believing they have legitimate claims to the territory. The region is internationally recognized as part of Azerbaijan but is primarily populated by ethnic Armenians. Baku had always considered the enclave to be illegally occupied by Yerevan.;E
RU;ADDRESS by the Ambassador of the Russian Federation to Ireland Yuriy Filatov to the Oireachtas Joint Committee on Foreign Affairs and Defence December 17, 2020;The recent settlement of the conflict in Nagorno-Karabakh could be considered as an example of the above-mentioned approach. The November 9 agreement reached by the leaders of Russia, Azerbaijan and Armenia stopped the bloodshed and paved the way for a long-term settlement. Due to the Agreement, thousands of internally displaced persons and refugees have returned to their households and secured conditions for the process of rebuilding of the economy and solution of the humanitarian problems. Now we can create real conditions to turn the region of the Southern Caucasus from the instability and internal tense contradictions into the place of stability and flourishing in the interests of all peoples living there and Russia will continue persistently support an advancement in this direction.;N
SE;Agreement finalised on Nagorno-Karabakh;"Armenia, Azerbaijan and Russia have signed an agreement to end fighting over the breakaway region of Nagorno-Karabakh.This is stated by both The Prime Minister of Armenia, Nikol Pasjinjan, and Russian President Vladimir Putin.Pasjinjan writes in a message on Facebook that the agreement is ""extremely painful for me personally and for our people"" but that the decision was made after an analysis of the current state of the ongoing fighting and that ""this is the best solution"".Just an hour after the agreement was signed, thousands of demonstrators gathered outside the headquarters of the Armenian Government in the capital Yerevan. Eyewitnesses tell the AFP news agency that a few hundred of them stormed the government building, shattered windows and destroyed several offices.Russian peace forcesThe agreement entered into force after midnight the night of Tuesday local time. According to Putin – whose Russia has a military pact with Armenia – the new agreement represents a total ceasefire in the disputed region.The agreement, if it is held, would put an end to a six-week armed conflict. Between 1 000 and 1 200 people have been confirmed dead as a result of the conflict, but the number of casualties is believed to be higher.The Russian Defense Ministry said in a separate statement that it will send 1,960 people as a peacekeeping force to the region. Azerbaijan's President Ilham Aliyev says that Turkey – which supports Azerbaijan – will also participate in the peacekeeping mission.On Monday, the Armenia-backed government in Nagorno-Karabakh confirmed the loss of the strategically important town of Sjusha, having initially denied it.Aliyev announced the news on Sunday, whereupon crowds gathered in the streets of the Azeri capital Baku and waved flags.Sjusja is located at an altitude above the largest resort of Stepanakert and Azeri forces were said to have their sights set on it.Russian helicopter shot downEarlier on Monday evening, Russian and Armenian authorities reported that a Russian military helicopter had been shot down in Armenia, near the town of Jerash, which is near the border with the Azeri exclave of Nachitjevan.Shortly after the shooting was announced, Azerbaijan stepped forward and claimed responsibility. The country's Foreign Ministry states that it was done by mistake and in the evening presented an apology to Russia with an offer of financial redress.Two people were killed and one injured in the shooting.";N
LT;Aliyev: Nagorno-Karabakh will not have any special status;"There can be no talk of any status. There is a united Azerbaijan - a multi-ethnic, multi-denominational country, he said on Monday during a visit to the districts of Fizul and Jebrail, whose control passed to Azerbaijan. Images of his trip were shown on state television on Tuesday.According to Aliyev, Armenians living in the region will be granted the same rights as other Azerbaijani citizens.""All citizens of Azerbaijan, representing different nations and religions, live in conditions of peace and good neighborliness.The Armenian people will also live in these conditions, ""said the Azerbaijani leader.He added that Baku considers the Armenians of Karabakh to be its citizens.The situation in Nagorno-Karabakh was complicated on 27 September, when active fighting broke out in the disputed area.November 9 Russian President Vladimir Putin, Azerbaijani President Ilham Aliyev and Armenian Prime Minister Nikol Pashinian have signed a joint statement on a complete cessation of hostilities in Nagorno-Karabakh.The Armenian-Azerbaijani conflict over Nagorno-Karabakh began in February 1988, when the Armenian Nagorno-Karabakh Autonomous Region declared its withdrawal from the Azerbaijani SSR.In September 1991, the establishment of the Nagorno-Karabakh Republic was announced at the Autonomous Administrative Center of Stepanakert.In the wake of the military conflict, Azerbaijan lost control of Nagorno-Karabakh.";A
RS;All actions Azerbaijan is taking are within its own, internationally recognised borders – Karabakh is Azerbaijan;"In the background of the general debates of the 75th President of the United State, At a time when the world is battling the Covid-19 pandemic, Armenia's aggressive military political leadership has resorted to another military adventure and provocation.September 27th, 2020. Armenian armed forces, grossly violating the cease-fire regime, began firing large-caliber weapons, mortars and artillery of different calibres on positions and densely populated villages of the Republic of Azerbaijan. Among the civilian population and military faces of Azerbaijan, there are dead and wounded. It also caused serious damage to homes and civilian facilities, killed 13 Azerbaijani djivils, including 2 children and 2 elderly people, and hospitalised more than 40 civilians.In order to prevent the next military aggression of Armenia and to provide security for densely populated areas of the civilian population along the separation line, the Armed Forces of the Republic of Azerbaijan are taking counteroffensive and proportionate measures within the right to self-defence and in full compliance with international humanitarian law.Another Armenian aggression against Azerbaijan constitutes a gross violation of fundamental norms and principles of international law, UN Security Council Resolution no. 822, 853, 874 and 884 in 1993. [Getty Images) and appropriate Additional Protocols.A new act of Armenia's aggression against Azerbaijan, committed on 27 March, was the first of its inauction. [The New York Times' 2015/12/ 12/ 2006SOFIA) attacks continued. And the 16th and 17th. July 23rd, diversiono-scouting provocation in the direction of Goranboj 23. [Getty)Turkey's role has a steady character in the region, and from the first moment the world community learned that Armenia had invaded Azerbaijan, Turkey unequivocally declared its support for Azerbaijan in support of international law. That is precisely what Turkey's role is all about, in nothing else. Turkey is providing us with moral support and we are grateful to the Turkish leadership, the President and the Turkish people for their solidarity and support. Turkey does not participate in this conflict in any other capacity. And all the rumours that Turkey is participating as a side in the conflict, spreading from the Armenian side, have a provocative character – it's fake news.Armenia's military authorities are still expected to respond to the two downed SU-25s. Armenia, for propaganda purposes and in an attempt to hide its shame, tried to blame the stealth F16 plane.Turkish Military Air Force F-16s do not in any way participate in the war. Today, considering modern technologies, it is very difficult to hide something, since there are objective ways of tracking, there are satellite observations, and therefore it is very easy to verify that this is another provocation. We understand the goal of the Armenian side – to create such fake news, for one thing, in order to disparage the combat capability of the Azerbaijani army, which now honourably fulfils the task of restoring territorial integrity, and also to create an impression that the conflict is flammable, to involve third countries, and thus to try to attract as many countries as possible to justify your provocation. Turkey is not a party to the conflict, it is not participating in it in any way and there is no need for it.In recent days, we have witnessed a campaign of smear and slander in some foreign media about allegedly ""militants from Syria being deployed to Azerbaijan"". There is no doubt that Armenia is behind these allegations, which are not based on any facts and spread in the form of interviews with fictional people. This defamatory campaign is intended to compensate for negative international public opinion, created on the basis of the demonstrative relocation of representatives of terrorist organisations from the Middle East to the occupied territoriesAzerbaijan by Armenia, a gross violation of international humanitarian law.There are numerous facts about armenia's use of terrorist groups and mercenaries in military operations during the occupation of Nagorno-Karabakh and the surrounding regions of Azerbaijan. Currently, the Armenian leadership continues this policy and widely uses extremist elements against Azerbaijan as part of its new act of aggression. So, the planArmenia to create ""voluntary militant groups"" to be used for military purposes is aimed at using the ""services"" of terrorists who have been moved to Armenia from the Middle East for years.Unlike Armenia, which has been experiencing a serious demographic crisis for years in which it has been unable to equip its armed forces, Azerbaijan, as has already been stated, has a full-scale armed force, and these armed forces are so professional and strong that no external forces, especially irregular groups, are needed to achieve the set goal.These false claims are incompatible from a military-technical standpoint because they lack simple logic. Various sources claim several hundred mercenaries were allegedly brought to Azerbaijan. That's when such a question is asked: In the context of a possible conflict between the two regular armies, can a small number of irregular groups change the power ratio? Of course, those who spread misinformation are unable to answer this question.Armenian media reported that two journalists from the French newspaper Le Monde were injured in the occupied Nagorno-Karabakh region of the Republic of Azerbaijan.We would like to note that Armenia is organising visits by journalists in the area of military operations, endangering the lives of foreign journalists and grossly violating international humanitarian law.We are reminded that the Ministry of Defence of the Republic of Azerbaijan issued an official statement on 27 February. September 2020. In 2013, the Azerbaijan Army did not target civilians and civilian infrastructure and that, unlike the occupied Armenia, it meets the requirements of international humanitarian law provisions , including the Geneva Conventions during military operations.The deliberate detention of foreign journalists in the danger zone clearly demonstrates that the Armenian government is ignoring its obligations to ensure the safety of journalists and to use foreign journalists for their propaganda purposes.We appeal to foreign journalists to obtain the consent of the Azerbaijani side regarding visits to the occupied Nagorno-Karabakh and the neighbouring regions of the Republic of Azerbaijan.Azerbaijan has repeatedly warned the international community that Armenia is preparing for a new act of aggression and war, and that the presence of Armenian armed forces in the occupied territories of Azerbaijan is a major threat to regional peace and stability.";A
LT;Almost 30 years later, history repeats itself: only this time the Armenians leave home;After more than a month of bloody war in Nagorno-Karabakh, the news is unexpected: Azerbaijan and Armenia have decided to lay down their arms through Vladimir Putin. Thousands of Moscow peacekeepers are being brought into the region to ensure that the disputed territories now ruled by Armenia are handed over to Azerbaijan. While Baku rejoices in winning the war, thousands of angry Armenians stormed the country’s parliament in Yerevan, accusing the country’s government of treason.;A
MO;Ambassador of Armenia to Moldova ends diplomatic mission;Prime Minister Ion Chicu today met Ambassador of Armenia to Moldova Jivan Movsisyan. The meeting took place in connection with the end of the ambassador‘s diplomatic mission in Moldova, the government’s communication and protocol department has reported.    The PM expressed appreciation for the contribution of the ambassador and the diplomatic mission in Moldova to the development and boosting of the friendship and cooperation relations between the two countries in diverse sectors of mutual interest. The interlocutors tackled also prospects for the continuous development of the cooperation ties on the commercial and economic, cultural dimension between Moldova and Armenia. Ion Chicu expressed the cabinet’s willingness to turn to good account the present potential in the priority fields on the bilateral collaboration agenda, as well as the interaction on regional and international cooperation platforms.  „We appreciate the ascendant character of the cooperation between Moldova and Armenia in more sectors of common interest and we express firm confidence that we have an increased potential for fostering the bilateral cooperation in all fields of common interest and especially in the commercial and economic sphere, strengthening the cultural relations,’’ the prime minister said.For his part, the ambassador of Armenia to Moldova thanked the prime minister for the consistent dialogue and support provided to boost the multidimensional cooperation between the two countries.  In the end, the two officials expressed openness for the continuous consolidation of the relations between Moldova and Armenia for the benefit of the two countries and nations. ;E
RU;America no longer ‘a neighbor to every country on Earth’ — surprise Armenia/Azerbaijan armistice evidence of changing world order;This week’s surprise Nagorno-Karabakh deal heralds a new approach to settling conflicts, where only players directly affected get a say in their settlement. The Western liberal order no longer controls the direction of the world.The cessation of hostilities in Nagorno-Karabakh and the adjustments in the future configuration of the region, offered by the peaceful settlement, matter beyond the regional context. It is another example of employing a new conflict resolution model, when only the countries for whom finding balance is vitally important participate in the peace talks. Other players, which are not directly involved in the situation and are only in it for the influence and prestige, don’t get a say.We all understand why this is important for the South Caucasus. The status quo established after the 1993-1994 war had been maintained here for 26 years. Armenia won that war. The balance of power and international context has drastically shifted since then, but the situation in the conflict zone remained the same.Diplomatic efforts by Russia and other countries had been largely unsuccessful, because the opposing sides had no real interest in resolving the issue. Both countries claimed to be in the right. Azerbaijan had the moral ground (this is our land), while Armenia used the power argument (we won the war). Add to that the long and complicated history of violence against one another.The idea that this problem couldn't be solved through compromise has been prevalent for decades. Therefore, the goal was to make sure the sides didn’t use military force to resolve the conflict. In order to do that, the international community had to monitor the balance of mutual deterrence in the region, so that neither country could hope to win a potential war. For a quarter of a century, this approach worked.However, the world began to change rapidly in the mid-2010s. It became obvious that the liberal order led by the US and Western countries was no longer capable of controlling international relations. There were several contributing factors: from the growing influence of non-Western players and more complexity in the global balance to the crisis inside the Western world itself.As the so-called rules-based mechanism began to lose its power and the global institutions, which support the Western order, started to deteriorate, the demands and ambitions of many other countries became more obvious. Predominantly, these countries felt like the Western-led world order restrained their legitimate aspirations.Thus, a more democratic world emerged. Democratic, not in the sense that there are more democracies, but that different voices are now heard in the international community. We did not see this diversity in the Cold War era, when whatever happened in the international arena was determined by the rules of bipolar confrontation, or immediately after, during the short period of the West’s domination. And in this diverse environment we saw the rise of new powers who were seeking to lead – in the regional context at the very least, and occasionally even at a global level. In the past, their ambition would have been thwarted by superpowers, but that is no longer the case in the 21st century.What do their general musings have to do with Nagorno-Karabakh? Everything. Turkey emerged as an independent and assertive player. Russia, having recovered after the collapse of the USSR, reclaimed a more confident foreign policy, and started reassessing its priorities in a new reality. Azerbaijan managed to stick to a flexible and relatively neutral course, which allowed it to grow its arsenal through multiple channels. All of the above created opportunities for more variations in how this major regional crisis could develop. Eventually, the balance of opportunities changed so much that it enabled a new military scenario — and with a different outcome. Partly it was because Armenia, for example, hadn’t fully realized the scale of those changes.After several weeks of fighting, a truce was brokered. What does it mean?Armenia suffered a heavy defeat, which is bound to have domestic political consequences. It was only Russia’s diplomatic and peace-making efforts that saved it from consequences of a more devastating kind. Armenia and Nagorno-Karabakh managed to avoid the worst-case scenarios, but the wound is deep. Now they have to reflect on what happened and find a way to heal — try it the military way again or opt for a new form of nation-building.Azerbaijan didn’t get everything it wanted (i.e. to reintegrate Nagorno-Karabakh), but seized control of strategically important areas and evened the score after its defeat in 1994, which had fueled the nation’s insecurities for years. Baku is unlikely to be satisfied with these results forever, but at this point they are celebrating a victory and the taste of it will last for a while.Turkey scored a win. Not risking a thing, Ankara invested money in equipping Azerbaijan’s army and turned into a major player in the South Caucasus. Under different circumstances, it would not have been able to do so. The partnership-rivalry relations between Russia and Turkey were strengthened through Syria and Libya. It’s a very strange relationship — based not on trust, mutual liking or shared interests, but rather on the understanding that if they oppose each other, neither country can reach its strategic goals. That’s why they have to somehow negotiate and minimize tensions. It’s an extremely confrontational kind of cooperation, but a surprisingly productive one.Russia’s actions were uncharacteristically elegant. Moscow’s ties with Yerevan strengthened: Armenia now depends on Russia more than it did before the war. Russia’s relationship with Azerbaijan is not ruined either, since Moscow played the role of a useful intermediary rather than solely the enemy’s ally. With Turkey, the relations became more complicated, but proved their effectiveness. In the long term, Turkey’s presence in the Caucasus might lead to certain challenges, but there was no way to avoid that. And Russia’s military presence in this strategically important region has grown, which is a good thing.What we saw was a kind of a Great Game of the 21st century on a regional level, with moderate losses and relatively low stakes. On a global scale, though, the outcome is more significant. During the Cold War, any regional conflict was part of the rivalry between the two superpowers. No conflict played out without them participating in it in some form or another. After the Cold War, the United States became “the neighbor to every country on Earth” (the expression was introduced by Askar Akayev, former president of Kyrgyzstan). America and its European allies thought that they had to participate in every conflict resolution — directly or through Western-led institutions like the OSCE, the EU, or NATO. It made sense, since the world order was based on the principles of liberal globalization, established by the West.The peaceful settlement in Nagorno-Karabakh (and before that, the military and diplomatic efforts around Syria and Libya) is an example of a process that only involves those who are directly affected by it, those for whom it is vitally important to find a solution. Indeed, it turns out that in certain cases it is a lot more efficient, as all parties get down to business without dancing around the issue. And they don’t burden the process with too much ideology, which overloaded liberal institutions after the Cold War. This is not the ultimate remedy, of course, but had the conflict resolution in Nagorno-Karabakh continued to rely on the OSCE Minsk Group, nobody would have found a way out of the dark dead end.There are no illusions or euphoria. Nothing is over. However, there is now a roadmap that seems more realistic in today’s world — harsh and fragmented, but still closely connected.;N
